Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.7681017612524462,0.12749003984063745,0.64,0.21262458471760798,0.7958641975308642
LightGBM,0.9344422700587084,0.24242424242424243,0.16,0.1927710843373494,0.7867489711934157
Random Forest,0.9266144814090019,0.1951219512195122,0.16,0.17582417582417584,0.7783539094650205
